Rented Bike Count,Rented Bike Count_sqrt
254,15.968719422671311
204,14.317821063276353
173,13.19090595827292
107,10.392304845413264
78,8.888194417315589
100,10.04987562112089
181,13.490737563232042
460,21.470910553583888
930,30.512292604784715
490,22.15851980616034
339,18.439088914585774
360,19.0
449,21.213203435596427
451,21.2602916254693
447,21.166010488516726
463,21.540659228538015
484,22.02271554554524
555,23.57965224510319
862,29.376861643136763
600,24.515301344262525
426,20.663978319771825
405,20.149441679609886
398,19.974984355438178
323,18.0
328,18.138357147217054
308,17.578395831246947
262,16.217274740226856
167,12.96148139681572
89,9.486832980505138
79,8.94427190999916
70,8.426149773176359
146,12.12435565298214
219,14.832396974191326
328,18.138357147217054
334,18.303005217723125
388,19.72308292331602
479,21.908902300206645
606,24.63736998950984
611,24.73863375370596
589,24.289915602982237
618,24.879710609249457
572,23.93741840717165
489,22.135943621178654
385,19.6468827043885
359,18.973665961010276
377,19.44222209522358
354,18.841443681416774
366,19.157244060668017
342,18.520259177452136
227,15.0996688705415
228,15.132745950421556
117,10.862780491200215
76,8.774964387392123
32,5.744562646538029
13,3.7416573867739413
22,4.795831523312719
85,9.273618495495704
152,12.36931687685298
200,14.177446878757825
273,16.55294535724685
333,18.275666882497067
495,22.271057451320086
563,23.748684174075834
621,24.939927826679853
598,24.474476501040833
545,23.366642891095847
443,21.071307505705477
422,20.566963801203133
397,19.949937343260004
385,19.6468827043885
350,18.734993995195193
303,17.435595774162696
285,16.911534525287763
186,13.674794331177344
112,10.63014581273465
65,8.12403840463596
41,6.48074069840786
82,9.1104335791443
200,14.177446878757825
498,22.338307903688676
937,30.62678566222711
509,22.58317958127243
311,17.663521732655695
379,19.493588689617926
393,19.849433241279208
391,19.79898987322333
338,18.411952639521967
341,18.49324200890693
375,19.390719429665317
515,22.715633383201094
807,28.42534080710379
568,23.853720883753127
398,19.974984355438178
397,19.949937343260004
353,18.81488772222678
248,15.7797338380595
216,14.730919862656235
198,14.106735979665885
124,11.180339887498949
62,7.937253933193772
42,6.557438524302
82,9.1104335791443
172,13.152946437965905
381,19.544820285692065
812,28.513154858766505
462,21.517434791350013
269,16.431676725154983
334,18.303005217723125
321,17.944358444926362
325,18.05547008526779
334,18.303005217723125
353,18.81488772222678
435,20.8806130178211
529,23.021728866442675
789,28.106938645110393
597,24.454038521274967
418,20.46948949045872
415,20.396078054371138
393,19.849433241279208
244,15.652475842498529
