Date,Rented Bike Count_sqrt,Hour,Temperature(°C),Humidity(%),Wind speed (m/s)_log,Visibility (10m)_sqrt,Dew point temperature(°C),Solar Radiation (MJ/m2)_log,Rainfall(mm)_log,Snowfall (cm)_log,Seasons,Holiday,Functioning Day,year,month,day,week_day
2017-12-01,15.968719422671311,0,-5.2,37,1.1631508098056809,1.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,14.317821063276353,1,-5.5,38,0.5877866649021191,1.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,13.19090595827292,2,-6.0,39,0.6931471805599453,1.0,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,10.392304845413264,3,-6.2,40,0.6418538861723947,1.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,8.888194417315589,4,-6.0,36,1.1939224684724346,1.0,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,10.04987562112089,5,-6.4,37,0.9162907318741551,1.0,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,13.490737563232042,6,-6.6,35,0.8329091229351039,1.0,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,21.470910553583888,7,-7.4,38,0.6418538861723947,1.0,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,30.512292604784715,8,-7.6,37,0.7419373447293773,1.0,-19.8,0.009950330853168092,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,22.15851980616034,9,-6.5,27,0.4054651081081644,8.54400374531753,-22.4,0.20701416938432612,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,18.439088914585774,10,-3.5,24,0.7884573603642703,2.23606797749979,-21.2,0.5007752879124892,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,19.0,11,-0.5,21,0.8329091229351039,8.06225774829855,-20.2,0.6626879730752367,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,21.213203435596427,12,1.7,23,0.8754687373538999,1.0,-17.2,0.7466879474879753,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,21.2602916254693,13,2.4,25,0.9555114450274363,1.0,-15.6,0.7701082216960737,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,21.166010488516726,14,3.0,26,1.0986122886681098,1.0,-14.6,0.6981347220709843,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,21.540659228538015,15,2.1,36,1.4350845252893227,1.0,-11.4,0.43178241642553783,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,22.02271554554524,16,1.2,54,1.6486586255873816,34.75629439396553,-7.0,0.2151113796169455,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,23.57965224510319,17,0.8,58,0.9555114450274363,1.0,-6.5,0.0769610411361284,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,29.376861643136763,18,0.6,66,0.8754687373538999,1.0,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,24.515301344262525,19,0.0,77,0.9932517730102834,1.0,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,20.663978319771825,20,-0.3,79,0.9162907318741551,9.38083151964686,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,20.149441679609886,21,-0.8,81,0.5877866649021191,17.72004514666935,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,19.974984355438178,22,-0.9,83,0.9162907318741551,24.919871588754223,-3.4,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-01,18.0,23,-1.3,84,0.6931471805599453,27.129319932501073,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,1,Friday
2017-12-02,18.138357147217054,0,-1.8,87,0.7419373447293773,31.73326330524486,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,2,Saturday
2017-12-02,17.578395831246947,1,-2.2,86,0.47000362924573563,31.796226191169293,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,2,Saturday
2017-12-02,16.217274740226856,2,-2.9,86,0.9162907318741551,27.294688127912362,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2017,December,2,Saturday
